gene	baseMean	log2FC	stderror	padj
CNAG_03007	96.936	-5.8499	0.38519	2.9252e-48
CNAG_07756	4.6016	-5.7408	1.1279	1.2805e-4
CNAG_01333	5.021	-4.1744	1.0616	0.011418
CNAG_03977	25.353	-3.4948	0.49122	2.5404e-9
CNAG_00110	6.5448	-3.4635	0.7054	2.8081e-4
CNAG_03609	226.05	-3.0858	0.74735	0.0058847
CNAG_05565	8.663	-2.9039	0.54085	3.2598e-5
CNAG_03453	12.295	-2.8261	0.45538	6.1473e-7
CNAG_03658	13.125	-2.7182	0.59342	0.0010517
CNAG_03125	8.8706	-2.5706	0.50941	1.5278e-4
CNAG_05258	62.792	-2.5704	0.62769	0.0065059
CNAG_03539	9.7753	-2.3787	0.48117	2.4763e-4
CNAG_04891	37.708	-2.3658	0.37096	2.444e-7
CNAG_05752	12.944	-2.3007	0.41431	1.732e-5
CNAG_00269	18.704	-2.2541	0.56874	0.010445
CNAG_01051	66.475	-2.068	0.45221	0.0010517
CNAG_03128	26.729	-2.0349	0.37658	2.9523e-5
CNAG_05699	19.863	-2.0136	0.30538	7.2748e-8
CNAG_04857	45.067	-1.9818	0.27167	1.0127e-9
CNAG_05513	20.991	-1.8272	0.50552	0.028747
CNAG_06335	13.306	-1.768	0.46005	0.015261
CNAG_01909	17.118	-1.7362	0.45688	0.016345
CNAG_04496	82.815	-1.7281	0.30895	1.7158e-5
CNAG_04122	78.884	-1.6917	0.3809	0.0018372
CNAG_01129	39.33	-1.6589	0.4652	0.033223
CNAG_06923	1661	-1.6092	0.28387	1.3923e-5
CNAG_02566	42.855	-1.5905	0.43768	0.02737
CNAG_07415	35.533	-1.5165	0.27131	1.7158e-5
CNAG_04018	47.544	-1.5129	0.32133	6.5133e-4
CNAG_02194	11.929	-1.5075	0.42379	0.033908
CNAG_00735	50.452	-1.5062	0.28084	3.2598e-5
CNAG_01334	41.623	-1.4692	0.32111	0.0010517
CNAG_05853	15.041	-1.4571	0.40447	0.029677
CNAG_03500	28.175	-1.4511	0.30322	4.6228e-4
CNAG_00127	63.06	-1.3965	0.32153	0.002573
CNAG_06433	46.965	-1.3603	0.26242	8.1994e-5
CNAG_05724	22.557	-1.3388	0.32405	0.0058847
CNAG_02440	773.44	-1.2914	0.23576	2.2486e-5
CNAG_01536	109.59	-1.2535	0.28283	0.0018631
CNAG_04531	129.06	-1.2022	0.22139	2.7227e-5
CNAG_01664	151.55	-1.1798	0.27288	0.0027436
CNAG_00407	1003.5	-1.116	0.20256	2.0373e-5
CNAG_02182	514.29	-1.0955	0.28729	0.016162
CNAG_02095	26.428	-1.0736	0.31382	0.048597
CNAG_02051	29.684	-1.0473	0.2836	0.02313
CNAG_03463	399.88	-1.0383	0.27698	0.019464
CNAG_04339	309.63	-1.0098	0.27491	0.024258
CNAG_06352	82.795	-1.0006	0.24875	0.0083133
