gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_01551	927.894433638484	-4.087279838358	0.2523177471052552	-16.198939175899415	5.130447634015336e-59	3.47587827204539e-55
CNAG_00302	25.928202416376752	-2.804547449757562	0.2624717373788689	-10.685140723205922	1.1946773546495699e-26	2.697979692583612e-23
CNAG_06802	214.58500955239393	-2.68944139681067	0.4047651641376346	-6.64444876954916	3.0435394290097453e-11	4.123995926308205e-9
CNAG_03658	5.175518195648512	-2.1761899395070214	0.6979597562289949	-3.1179303965385525	0.0018212580957085835	0.014533596700148001
CNAG_03172	50.60940901786692	-2.1435923401367165	0.47646311084961834	-4.498968107550469	6.82840995363563e-6	1.98290407204219e-4
CNAG_01252	5.9963629987218905	-1.995591087076179	0.45515708240294467	-4.384400823866579	1.1630545383242596e-5	2.947286263706332e-4
CNAG_03461	143.9435896223571	-1.7959516335289347	0.1751988623148414	-10.250932054007958	1.1720780526891509e-24	1.985207201742249e-21
CNAG_05513	5.477530435650569	-1.7747331451725017	0.5838356233957479	-3.039782216182986	0.002367492767862413	0.01773688998218101
CNAG_01909	11.70597675381105	-1.7697233204863054	0.5321194845328537	-3.3258006367497344	8.816496429755768e-4	0.008307616594102273
CNAG_07896	18.18556876160002	-1.7387544555419523	0.2532748156912202	-6.865090201710989	6.644925245342201e-12	1.098033378955937e-9
CNAG_07893	4.410457180812268	-1.6880338280051341	0.5825914285165508	-2.8974573695726438	0.0037620086234059877	0.025036943441626294
CNAG_00539	419.61683210307194	-1.6097198553029863	0.2245254894878524	-7.169430334946793	7.531047971257469e-13	1.4577957144362674e-10
CNAG_03784	6.155067432689929	-1.6007492515260713	0.41072562349796604	-3.8973688514809655	9.724345290530418e-5	0.0016159827978750414
CNAG_02194	8.998846748089923	-1.5549740509064718	0.48639898774943663	-3.196910540668108	0.001389079997618026	0.01187487888127155
CNAG_06163	107.47846384520523	-1.5268902073684882	0.23822087850297446	-6.409556613860876	1.4594344714487396e-10	1.7346786919412648e-8
CNAG_03906	41.84784235201863	-1.4954598258788305	0.32517589196658536	-4.5989258823421695	4.246748245133168e-6	1.38993813337088e-4
CNAG_05867	1040.7823374691532	-1.487124813865316	0.1758888866673793	-8.454910608864072	2.7930124002740207e-17	1.3516185008468921e-14
CNAG_06910	26.46487522444837	-1.474646792120722	0.31011997622233134	-4.755084822602713	1.983631143921155e-6	7.813430813991759e-5
CNAG_05303	1905.708346116206	-1.4577431667197345	0.4017543433651069	-3.628444074828494	2.851344989430296e-4	0.003616627813402673
CNAG_06152	15.571033933860358	-1.4224017357794903	0.29428879756459153	-4.833353316710252	1.3425220814287334e-6	5.8305045523587624e-5
CNAG_06939	8.37559421243014	-1.4212877411441915	0.37989956653840556	-3.741219696812968	1.8312934682510388e-4	0.002584794426541831
CNAG_02475	1361.2191009870512	-1.3932901836478073	0.2653251473762247	-5.251255666588419	1.5106582389846598e-7	9.3042814264737e-6
CNAG_05971	31.48518105531614	-1.376469513710081	0.18657668073009254	-7.37750027668958	1.6128903640257284e-13	3.6424440720914367e-11
CNAG_07626	1408.2482643444257	-1.361318215966092	0.1065681620595109	-12.774154960145511	2.2861714410998568e-37	7.744405756725764e-34
CNAG_00890	12.490207902319332	-1.354344358198206	0.37703544720578497	-3.59208760936212	3.2803952140100367e-4	0.003997244168150719
CNAG_02822	371.99430846614837	-1.3502248361758624	0.1859954571893551	-7.2594506155128755	3.8866565852575104e-13	7.97942374700595e-11
CNAG_00735	18.066476450943178	-1.3360247242006542	0.4115058313014315	-3.2466726412486846	0.0011676260739233305	0.010246977526982596
CNAG_06142	11.57362955254484	-1.3315659387805419	0.33451367488497175	-3.980602405083809	6.874084312803745e-5	0.0012343669311114765
CNAG_04626	67.82999027524596	-1.258313911733429	0.24774524962995967	-5.079063730234535	3.792994682058984e-7	2.072382175076582e-5
CNAG_04297	7.9339025756041925	-1.2499594085594292	0.35304249316389774	-3.5405352974865365	3.993162175992576e-4	0.004600964922168317
CNAG_02562	43.860747075028755	-1.2017713099471536	0.2741344478356126	-4.383875574323325	1.1658637913997004e-5	2.947286263706332e-4
CNAG_05653	84.74927755969993	-1.1877706188503447	0.23585542282483216	-5.036011487988945	4.7533204478644305e-7	2.4583012239909554e-5
CNAG_07840	44.47331450903847	-1.179559065655317	0.3141086963295529	-3.7552575889772912	1.731632913691045e-4	0.0024855535996306847
CNAG_03666	164.68370807260027	-1.1770391263089415	0.3676790315409569	-3.2012680227532297	0.0013682419713638959	0.011763755527906592
CNAG_05721	171.3139849566292	-1.1667489954437056	0.24317559327407184	-4.797969153626028	1.60282454915635e-6	6.703170568231032e-5
CNAG_07747	40.988295296954405	-1.1528040130437673	0.22248312785782462	-5.181534546657641	2.2006781848603646e-7	1.2853098881404284e-5
CNAG_07661	26.465151371417736	-1.1457209896349863	0.25100312058765256	-4.564568707164301	5.005222611818677e-6	1.5626904698189649e-4
CNAG_06203	12.114605730800667	-1.141055345309783	0.3233328821595588	-3.529042074807267	4.170668153734594e-4	0.004756948946389205
CNAG_05614	16.786401798847816	-1.1365566741737485	0.28190754582919114	-4.031664604190455	5.538318649549657e-5	0.0010393935969722694
CNAG_05580	10.337033226513723	-1.1306144334556767	0.34807764243675704	-3.248167350079373	0.001161509342170161	0.010221905870697885
CNAG_07970	8.439315140692237	-1.1242240528770435	0.4125902354874811	-2.7247955869550746	0.006434130838742453	0.037513972833459655
CNAG_03785	70.92945103915811	-1.1201737677317816	0.19353573047357173	-5.78794295498188	7.1253598973797316e-9	6.110672570221226e-7
