gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_01980	146.83917275361821	-7.861114541839671	0.4650551484724434	-16.903617920715217	4.2312939429779236e-64	1.7887795143939173e-61
CNAG_06389	562.6076825474652	-6.665505833209834	0.2537711359430651	-26.265815489375733	4.715705503524874e-152	1.5948516012921125e-148
CNAG_03894	419.2978061077707	-6.109687664093461	0.3601421118362434	-16.96465773730881	1.4997093784034277e-64	6.76268949034719e-62
CNAG_04874	1390.6015175554744	-4.167356130545612	0.20313680740431803	-20.515022283731273	1.5809613820830041e-93	2.67340569710236e-90
CNAG_06785	1150.0004959606183	-4.0079958665040465	0.12349155169392174	-32.455628029016985	4.511586166378954e-231	3.0516368829387246e-227
CNAG_00456	2472.1491685555693	-3.938660115479198	0.19267670874394244	-20.44180711387113	7.105876596261083e-93	9.612829859421992e-90
CNAG_06242	583.9848563213405	-3.8095590942977062	0.23318042099454955	-16.337388353830754	5.34957304233959e-60	1.809225602919249e-57
CNAG_05312	196.3515122146836	-3.795210562905245	0.21259880078973528	-17.851514443201346	2.8130356741327255e-71	1.585614441652813e-68
CNAG_00735	114.39587038899299	-3.779729691365706	0.4053269336475421	-9.32513824667873	1.108390022847233e-20	6.145205011916954e-19
CNAG_01551	2313.552835886439	-3.729384081137306	0.3176676880651011	-11.739891154346886	7.958881491293144e-32	9.444539369667864e-30
CNAG_06346	2069.983422202503	-3.644865722025069	0.40321107085870683	-9.039597336111592	1.5724998455452674e-19	7.763787558589919e-18
CNAG_07869	26.60689208284975	-3.5934061269354562	0.3972036729212634	-9.046759564199114	1.4727384847439847e-19	7.324708169711994e-18
CNAG_07759	1.1218456665458287	-3.503397422831421	1.1258911133472864	-3.1116662893055285	0.0018603466569407374	0.0064672508524169225
CNAG_02872	90.2890487142704	-3.436996731109898	0.23555906546053787	-14.590806447590031	3.2137605998327756e-48	8.360721806641882e-46
CNAG_05161	165.4639491396852	-3.426466545145678	0.19091161913178883	-17.94792040803102	4.98212734223472e-72	3.0635553948068766e-69
CNAG_02225	128.71827794362775	-3.4018258538990716	0.4697680565738566	-7.241501005218389	4.43745875683116e-13	1.2937487513450847e-11
CNAG_03644	363.4816566768073	-3.387287410443856	0.16044034405029747	-21.112441702206482	6.1131487239375566e-99	1.3783112656237877e-95
CNAG_02060	8.465399691132665	-3.2903021079631234	0.4931779704065127	-6.671632362757445	2.5297364574502186e-11	5.800385558709586e-10
CNAG_04018	105.24832560797323	-3.2234217855802423	0.2335281472747863	-13.803140320328618	2.43987964127453e-43	5.501115297860307e-41
CNAG_03516	1008.5624827684136	-3.178698814709493	0.2092324678712326	-15.19218717367398	3.984014100604095e-52	1.0779148550594439e-49
CNAG_06917	12317.343616209806	-3.1498500472831163	0.3853635083769923	-8.173711259141045	2.9904501366028946e-16	1.1968878534900579e-14
CNAG_01816	0.6627125197485947	-3.1223183245563884	1.3389137955082988	-2.3319786046203568	0.019701816737171765	0.046660745241677105
CNAG_00165	2585.9360370763247	-3.0135117284558266	0.18487899609938516	-16.299913954724513	9.883116361085235e-60	3.1833047174466915e-57
CNAG_04869	45.57651104116519	-2.9968227131552236	0.46698986577626844	-6.417318517552114	1.3869554443056946e-10	2.825712838940879e-9
CNAG_05870	736.8524324857644	-2.931219472067989	0.1623278176787104	-18.057407005062103	6.89879625414678e-73	4.6663457863048813e-70
CNAG_00302	80.20886332289496	-2.9177400204237642	0.3026552876336262	-9.640472642116139	5.393904621347084e-22	3.409754285868381e-20
CNAG_05229	1970.794246563889	-2.651622835452521	0.14886412291084666	-17.812369989514217	5.665909567780598e-71	2.948016332035997e-68
CNAG_05916	301.2862656581268	-2.64630652517133	0.16019299105796656	-16.519490070659533	2.6563443382789257e-61	9.981951724510363e-59
CNAG_05147	245.9803108371388	-2.639090773356837	0.169610117341921	-15.559748526301838	1.3663467765819743e-54	3.850820665333531e-52
CNAG_00597	187.8159295676436	-2.6376525007719467	0.24166456156523022	-10.914519214932513	9.824775616185246e-28	9.359828488433381e-26
CNAG_02544	2.638548116810826	-2.558272770125678	0.7056831270198473	-3.6252429343598673	2.886899408279247e-4	0.001329270769067449
CNAG_07809	2.6761825648287645	-2.4711193420812525	0.6929080723953681	-3.566301852334678	3.62054328257826e-4	0.0016132644771646475
CNAG_04735	2195.671828565108	-2.4669185682228374	0.3023278888592141	-8.159745293533323	3.357318078723005e-16	1.3358176167342592e-14
CNAG_05264	95.19185648636692	-2.464361744267449	0.3088010724425329	-7.980418347562767	1.4583814912818307e-15	5.390433009306176e-14
CNAG_05159	888.2438252417371	-2.4504368962649603	0.13536453702505585	-18.102502694715284	3.045118150446737e-73	2.288575463291303e-70
CNAG_03848	678.5534093219708	-2.424810432684305	0.11914695252018226	-20.351426380574587	4.509599449781863e-92	5.083821779720753e-89
CNAG_05330	2.6128021708314373	-2.419130207530883	0.7714484874662476	-3.1358285703252804	0.0017136934403554158	0.0060215181457475495
CNAG_06241	1104.7200515057514	-2.3171564976194117	0.1935481663156718	-11.971988894176308	4.98198665173438e-33	6.877175043332927e-31
CNAG_06200	485.1910694606062	-2.3010051387429464	0.133131241537486	-17.283735298863327	6.237447628885647e-67	3.013578268698751e-64
CNAG_00463	1.9983340353239485	-2.2993316503943633	0.794471434386771	-2.894165291379103	0.003801679790962022	0.011672520247874315
